data,id
2015-07-14,34552
2015-07-14,39102
2015-07-15,38393
2015-07-15,39327
2015-07-15,38427
2015-07-15,39729
2015-07-15,40197
2015-07-15,39869
2015-07-15,40025
2015-07-15,30302
2015-07-15,31034
2015-07-15,38205
2015-07-15,39284
2015-07-15,39598
2015-07-15,14660
2015-07-15,38498
2015-07-15,33962
2015-07-16,36199
2015-07-16,30636
2015-07-16,34587
2015-07-16,40275
2015-07-16,39969
2015-07-16,34641
2015-07-16,10737
2015-07-16,40743
2015-07-16,39679
2015-07-16,39766
2015-07-16,33665
2015-07-16,38776
2015-07-16,40901
2015-07-17,40789
2015-07-17,39442
2015-07-17,14009
2015-07-17,28125
2015-07-17,39557
2015-07-17,39106
2015-07-17,39939
2015-07-17,40351
2015-07-20,31716
2015-07-20,38891
2015-07-20,34348
2015-07-20,39248
2015-07-20,37704
2015-07-20,36895
2015-07-20,38376
2015-07-20,38861
2015-07-20,40506
2015-07-20,38863
2015-07-20,38985
2015-07-20,40413
2015-07-20,25617
2015-07-20,19753
2015-07-20,40488
2015-07-20,41171
2015-07-20,39934
2015-07-20,35660
2015-07-20,40654
2015-07-21,30018
2015-07-21,39324
2015-07-21,39304
2015-07-21,18033
2015-07-21,13373
2015-07-21,19116
2015-07-21,40222
2015-07-21,31224
2015-07-21,40804
2015-07-21,33079
2015-07-21,14551
2015-07-21,41095
2015-07-21,15243
2015-07-21,18020
2015-07-21,18464
2015-07-21,17787
2015-07-21,37877
2015-07-21,2985
2015-07-21,41012
2015-07-22,39364
2015-07-22,14554
2015-07-22,40830
2015-07-22,41743
2015-07-22,32226
2015-07-22,40711
2015-07-22,20508
2015-07-22,40593
2015-07-22,39534
2015-07-22,23527
2015-07-22,41106
2015-07-22,40028
2015-07-22,39745
2015-07-22,39518
2015-07-22,17638
2015-07-22,23816
2015-07-23,32531
2015-07-23,37723
2015-07-23,34072
2015-07-23,33957
2015-07-23,39333
2015-07-23,30638
2015-07-23,7575
2015-07-23,25897
2015-07-23,37326
2015-07-23,36822
2015-07-23,36241
2015-07-23,19871
2015-07-23,24144
2015-07-23,37857
2015-07-23,40393
2015-07-23,32565
2015-07-23,36020
2015-07-23,33400
2015-07-23,33532
2015-07-23,14644
2015-07-23,35371
2015-07-23,38005
2015-07-23,36006
2015-07-23,35222
2015-07-24,28708
2015-07-24,37792
2015-07-24,39853
2015-07-24,38008
2015-07-24,17043
2015-07-24,38177
2015-07-24,38174
2015-07-24,39527
2015-07-24,37923
2015-07-24,37646
2015-07-24,38318
2015-07-24,38200
2015-07-24,40860
2015-07-24,39842
2015-07-24,38060
2015-07-27,38870
2015-07-27,38446
2015-07-27,38011
2015-07-27,40026
2015-07-27,39498
2015-07-27,41190
2015-07-27,40939
2015-07-27,41758
2015-07-27,39043
2015-07-27,38867
2015-07-27,42005
2015-07-27,41779
2015-07-27,39685
2015-07-27,39385
2015-07-27,39510
2015-07-27,37769
2015-07-27,39150
2015-07-27,39349
2015-07-27,41679
2015-07-28,34429
2015-07-28,35475
2015-07-28,32740
2015-07-28,42327
2015-07-28,36504
2015-07-28,40386
2015-07-28,39721
2015-07-28,35939
2015-07-28,28573
2015-07-28,41349
2015-07-28,36143
2015-07-28,26314
2015-07-28,35409
2015-07-28,31373
2015-07-28,39226
2015-07-28,40484
2015-07-28,30576
2015-07-28,40713
2015-07-28,35758
2015-07-28,29728
2015-07-29,40940
2015-07-29,14685
2015-07-29,40361
2015-07-29,40982
2015-07-29,41657
2015-07-29,34876
2015-07-29,41526
2015-07-29,38895
2015-07-30,29935
2015-07-30,10910
2015-07-30,29160
2015-07-30,33348
2015-07-30,42132
2015-07-30,28867
2015-07-30,28842
2015-07-30,39960
2015-07-30,28771
2015-07-30,40477
2015-07-31,6168
2015-07-31,10446
2015-07-31,40210
2015-07-31,1597
2015-07-31,24351
2015-07-31,1562
2015-07-31,17116
2015-07-31,41888
2015-07-31,20347
2015-07-31,24069
2015-07-31,12421
2015-07-31,13353
2015-07-31,33687
2015-07-31,16177
2015-07-31,31616
2015-07-31,24579
2015-07-31,15197
2015-07-31,19773
2015-07-31,13300
2015-07-31,39089
2015-07-31,38750
